               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.039379,            0.022285,            0.018335,             0.46876,             0.76195,             0.48585,             0.21443,            0.018024,           0.0046757,           0.0083991,             0.00181,             0.00181,             0.08371
                   1,             0.02385,            0.011858,            0.017447,             0.50246,             0.99954,             0.58238,             0.57799,           0.0098059,             0.00279,           0.0082516,           0.0036292,           0.0036292,            0.067329
                   2,            0.019026,           0.0092399,            0.017668,             0.52769,             0.95097,             0.58668,             0.57775,            0.018447,           0.0017959,           0.0081824,           0.0054452,           0.0054452,            0.050945
                   3,            0.017985,           0.0081149,            0.017192,             0.63271,             0.86134,             0.75235,             0.75055,           0.0072563,           0.0015141,           0.0075524,           0.0072555,           0.0072555,            0.034555
                   4,            0.015992,           0.0075361,            0.015939,             0.54587,             0.96875,              0.6197,              0.5482,           0.0046038,           0.0011337,            0.010415,           0.0090577,           0.0090577,            0.018158
                   5,            0.015075,           0.0073798,            0.016269,             0.55371,             0.92372,             0.71123,             0.48317,           0.0083461,            0.001759,           0.0075489,           0.0099446,           0.0099446,           0.0099446
                   6,            0.013026,           0.0066631,            0.015175,             0.55134,             0.93466,             0.70956,             0.65825,            0.002807,           0.0011183,           0.0094201,           0.0099446,           0.0099446,           0.0099446
                   7,            0.011451,           0.0059371,            0.014322,             0.72406,             0.89358,             0.89154,             0.72501,           0.0070709,           0.0012288,           0.0060228,           0.0099203,           0.0099203,           0.0099203
                   8,             0.01023,           0.0055273,            0.014311,             0.51532,             0.94602,             0.60265,              0.5814,           0.0026537,          0.00084555,            0.011702,           0.0098916,           0.0098916,           0.0098916
                   9,           0.0097179,           0.0054904,            0.014313,               0.634,             0.94507,             0.82706,             0.79339,           0.0019256,           0.0021296,           0.0067915,           0.0098586,           0.0098586,           0.0098586
                  10,           0.0089008,           0.0050802,             0.01363,             0.70772,             0.82665,             0.82012,             0.80703,           0.0029952,          0.00096401,           0.0063789,           0.0098213,           0.0098213,           0.0098213
                  11,           0.0087337,           0.0051526,            0.013676,             0.76192,             0.88539,              0.9052,             0.89328,           0.0027485,            0.001086,            0.005147,           0.0097798,           0.0097798,           0.0097798
                  12,           0.0082517,           0.0050099,            0.013102,             0.64271,             0.91761,              0.8584,             0.84788,           0.0044452,          0.00086607,            0.010039,            0.009734,            0.009734,            0.009734
                  13,           0.0080268,           0.0048264,            0.012989,             0.81105,             0.86675,             0.90744,             0.90137,           0.0061049,           0.0016592,            0.005533,            0.009684,            0.009684,            0.009684
                  14,            0.008298,           0.0047423,            0.012955,             0.64677,             0.92436,               0.872,              0.8709,           0.0027161,           0.0010725,           0.0062842,           0.0096299,           0.0096299,           0.0096299
                  15,           0.0074824,           0.0043974,            0.012245,             0.85973,             0.86091,             0.92916,             0.89858,           0.0019351,           0.0013405,           0.0043826,           0.0095717,           0.0095717,           0.0095717
                  16,           0.0073802,           0.0045179,            0.012417,             0.54329,             0.97443,             0.75502,              0.7534,           0.0045329,           0.0018932,            0.016152,           0.0095095,           0.0095095,           0.0095095
                  17,           0.0072339,           0.0041724,            0.012599,             0.73388,             0.91136,             0.89486,             0.88571,           0.0019634,           0.0018121,           0.0057744,           0.0094434,           0.0094434,           0.0094434
                  18,            0.007126,           0.0042573,            0.011942,             0.70116,             0.94034,             0.91039,              0.9079,           0.0019908,           0.0010284,           0.0059053,           0.0093733,           0.0093733,           0.0093733
                  19,           0.0065175,            0.004153,            0.011999,             0.65815,             0.87788,             0.83431,             0.78658,           0.0026021,           0.0014372,           0.0070107,           0.0092995,           0.0092995,           0.0092995
                  20,           0.0063379,           0.0038504,            0.010949,             0.71077,             0.93836,             0.92833,             0.83767,           0.0034755,           0.0014722,           0.0083892,           0.0092219,           0.0092219,           0.0092219
                  21,           0.0066296,           0.0039295,            0.011178,             0.80539,             0.90158,             0.93622,             0.92273,           0.0017679,           0.0014174,           0.0046849,           0.0091406,           0.0091406,           0.0091406
                  22,           0.0062965,            0.004051,            0.011262,             0.65202,             0.93466,             0.89035,             0.80806,           0.0028935,           0.0013249,            0.011401,           0.0090557,           0.0090557,           0.0090557
                  23,           0.0061751,           0.0038723,            0.011112,             0.82067,             0.89625,             0.92851,             0.86964,           0.0027718,           0.0015787,           0.0045467,           0.0089673,           0.0089673,           0.0089673
                  24,           0.0061723,           0.0037238,            0.011246,              0.8377,             0.88476,             0.93816,             0.82038,           0.0041767,           0.0015165,           0.0045174,           0.0088755,           0.0088755,           0.0088755
                  25,           0.0058131,           0.0036836,            0.011015,             0.81684,              0.8908,              0.9368,             0.93237,           0.0015521,            0.001565,           0.0046011,           0.0087804,           0.0087804,           0.0087804
                  26,            0.006248,           0.0037809,            0.011415,             0.78662,              0.9292,             0.95975,             0.95796,           0.0013994,           0.0025505,           0.0044923,            0.008682,            0.008682,            0.008682
                  27,           0.0060361,           0.0037295,            0.010208,             0.78963,             0.85792,             0.92261,             0.90481,           0.0021101,           0.0017001,           0.0051468,           0.0085805,           0.0085805,           0.0085805
                  28,           0.0054402,            0.003548,            0.010535,             0.80775,             0.86064,             0.90487,             0.90279,            0.002005,           0.0016652,           0.0055692,           0.0084759,           0.0084759,           0.0084759
                  29,           0.0055779,           0.0036349,             0.01077,             0.85562,             0.91329,             0.96024,             0.95977,           0.0013309,           0.0014055,           0.0039957,           0.0083684,           0.0083684,           0.0083684
                  30,           0.0053268,           0.0035112,           0.0097215,             0.80974,             0.91918,             0.94525,             0.87956,           0.0024824,           0.0016056,           0.0048303,           0.0082581,           0.0082581,           0.0082581
                  31,           0.0053072,           0.0034782,           0.0098012,             0.72286,             0.89384,             0.91161,              0.9076,           0.0018436,           0.0019873,           0.0062078,            0.008145,            0.008145,            0.008145
                  32,             0.00546,           0.0035629,            0.010905,             0.65818,             0.94034,             0.90652,             0.90176,           0.0023528,           0.0020706,           0.0081664,           0.0080294,           0.0080294,           0.0080294
                  33,           0.0055775,            0.003612,            0.011402,             0.73867,             0.94555,              0.9427,             0.93273,           0.0020296,           0.0016741,           0.0054918,           0.0079112,           0.0079112,           0.0079112
                  34,            0.005117,           0.0034119,           0.0099101,             0.72871,             0.93836,             0.94179,             0.93238,           0.0018822,           0.0020472,           0.0061207,           0.0077907,           0.0077907,           0.0077907
                  35,           0.0051589,           0.0034077,           0.0098382,             0.73806,             0.94115,             0.95886,             0.95717,           0.0017555,           0.0013237,           0.0052823,           0.0076679,           0.0076679,           0.0076679
                  36,           0.0049665,           0.0033246,            0.010406,             0.81186,             0.87963,             0.92654,             0.87242,           0.0028729,           0.0017762,           0.0044707,            0.007543,            0.007543,            0.007543
                  37,           0.0052433,            0.003349,            0.010013,              0.6986,             0.91761,             0.93757,             0.93731,           0.0014992,           0.0015056,            0.008876,            0.007416,            0.007416,            0.007416
                  38,           0.0050826,           0.0033024,           0.0098048,              0.6794,             0.94535,             0.92481,             0.92392,           0.0015189,           0.0019441,           0.0087551,           0.0072872,           0.0072872,           0.0072872
                  39,           0.0046278,           0.0031069,           0.0091601,             0.85104,             0.93349,             0.96711,             0.94297,           0.0018529,           0.0020416,           0.0034464,           0.0071566,           0.0071566,           0.0071566
                  40,           0.0046473,            0.003136,           0.0088008,             0.93088,             0.92038,              0.9746,             0.96649,           0.0018479,           0.0018408,           0.0027866,           0.0070243,           0.0070243,           0.0070243
                  41,           0.0045815,            0.003044,           0.0090567,             0.56562,              0.9233,             0.72817,             0.72706,           0.0014655,            0.001697,            0.018817,           0.0068906,           0.0068906,           0.0068906
                  42,           0.0044228,           0.0030304,           0.0087926,             0.84728,             0.89229,             0.97503,             0.97294,          0.00088335,           0.0022233,             0.00412,           0.0067555,           0.0067555,           0.0067555
                  43,           0.0043237,           0.0029799,           0.0092497,              0.9226,             0.94585,             0.97612,             0.96992,           0.0018319,           0.0020123,           0.0027628,           0.0066191,           0.0066191,           0.0066191
                  44,           0.0041317,           0.0029026,           0.0084492,             0.77227,             0.92867,             0.95079,             0.94926,          0.00060634,           0.0017088,           0.0046877,           0.0064816,           0.0064816,           0.0064816
                  45,           0.0041515,           0.0029424,           0.0085328,             0.82681,             0.89784,             0.96203,             0.95878,           0.0017021,           0.0015502,           0.0043843,           0.0063432,           0.0063432,           0.0063432
                  46,           0.0039808,           0.0029237,           0.0085719,             0.77166,             0.90327,              0.9675,             0.95114,           0.0019755,           0.0022374,           0.0066966,            0.006204,            0.006204,            0.006204
                  47,           0.0040555,           0.0029257,           0.0083137,             0.91626,             0.89898,             0.96855,             0.96554,           0.0014407,           0.0018416,           0.0028278,            0.006064,            0.006064,            0.006064
                  48,           0.0039422,            0.002864,           0.0081754,             0.83463,             0.88512,             0.95071,             0.94528,           0.0014589,           0.0018478,           0.0049798,           0.0059235,           0.0059235,           0.0059235
                  49,           0.0037577,           0.0028432,           0.0078929,             0.85144,             0.93727,             0.96396,             0.96276,           0.0015867,           0.0021994,           0.0032478,           0.0057826,           0.0057826,           0.0057826
                  50,           0.0040368,           0.0027402,           0.0081733,             0.90598,             0.94847,             0.98661,             0.98574,           0.0016254,           0.0021631,           0.0025422,           0.0056413,           0.0056413,           0.0056413
                  51,           0.0037665,           0.0027782,           0.0081633,             0.90264,             0.95533,             0.98588,             0.96031,           0.0019384,           0.0022424,           0.0023951,              0.0055,              0.0055,              0.0055
                  52,           0.0036502,           0.0027002,           0.0081987,             0.92108,             0.90259,              0.9666,             0.89048,           0.0027499,           0.0025446,            0.003526,           0.0053587,           0.0053587,           0.0053587
                  53,           0.0034851,           0.0026031,           0.0075374,             0.88281,             0.91028,             0.97873,             0.97279,           0.0016682,            0.001886,           0.0043255,           0.0052174,           0.0052174,           0.0052174
                  54,           0.0035957,           0.0027039,           0.0074367,             0.93131,             0.94698,             0.98327,             0.97707,            0.001735,           0.0016262,           0.0022094,           0.0050765,           0.0050765,           0.0050765
                  55,           0.0035297,           0.0026475,           0.0076556,             0.94604,              0.9225,             0.97653,             0.97437,           0.0015717,           0.0019443,           0.0026102,            0.004936,            0.004936,            0.004936
                  56,            0.003555,           0.0026826,           0.0073109,             0.94735,             0.96332,             0.98612,             0.92855,           0.0022504,           0.0023698,           0.0022308,            0.004796,            0.004796,            0.004796
                  57,           0.0035597,           0.0026198,           0.0074639,             0.70823,             0.94034,             0.94083,             0.92852,           0.0020161,           0.0017549,           0.0073685,           0.0046568,           0.0046568,           0.0046568
                  58,           0.0033963,           0.0025147,           0.0075841,             0.92548,             0.91928,               0.978,             0.97562,           0.0011458,           0.0022307,           0.0029369,           0.0045184,           0.0045184,           0.0045184
                  59,           0.0034236,           0.0025414,           0.0074841,              0.9756,             0.97318,             0.99226,             0.99173,           0.0014918,           0.0022706,            0.001459,           0.0043809,           0.0043809,           0.0043809
                  60,           0.0033478,           0.0025813,           0.0072609,             0.73902,             0.96918,             0.97491,             0.96951,           0.0013418,           0.0023339,           0.0066294,           0.0042445,           0.0042445,           0.0042445
                  61,           0.0030106,           0.0025187,           0.0071772,             0.94258,             0.93812,             0.97779,             0.97779,           0.0010715,           0.0020766,           0.0028643,           0.0041094,           0.0041094,           0.0041094
                  62,           0.0029064,           0.0023146,           0.0068496,               0.915,             0.91726,             0.97615,             0.97452,           0.0011306,           0.0020588,           0.0028733,           0.0039757,           0.0039757,           0.0039757
                  63,           0.0031324,           0.0024306,            0.006457,             0.96326,             0.89259,             0.98798,             0.95756,           0.0021829,           0.0025142,           0.0023892,           0.0038434,           0.0038434,           0.0038434
                  64,           0.0028592,           0.0023465,           0.0072473,             0.92065,             0.95046,             0.98024,             0.96992,           0.0021631,           0.0024536,           0.0026356,           0.0037128,           0.0037128,           0.0037128
                  65,           0.0028351,           0.0023725,           0.0065488,             0.89245,             0.93747,              0.9732,             0.95848,           0.0016618,           0.0025206,           0.0038192,            0.003584,            0.003584,            0.003584
                  66,           0.0029983,           0.0023523,           0.0065342,             0.97393,             0.95356,              0.9892,             0.97123,           0.0018382,           0.0027808,           0.0017185,            0.003457,            0.003457,            0.003457
                  67,           0.0028665,           0.0023901,           0.0064576,             0.90295,             0.91783,             0.98876,             0.98737,           0.0016175,           0.0026192,           0.0031155,           0.0033321,           0.0033321,           0.0033321
                  68,           0.0025678,            0.002282,           0.0062773,             0.98442,             0.97148,             0.99184,             0.99107,           0.0012498,           0.0022643,           0.0013847,           0.0032093,           0.0032093,           0.0032093
                  69,            0.002556,           0.0022452,           0.0062347,             0.94724,             0.90974,             0.98265,             0.97853,           0.0016805,           0.0026491,           0.0022669,           0.0030888,           0.0030888,           0.0030888
                  70,           0.0025005,           0.0022929,           0.0057338,             0.89673,             0.96575,             0.98972,             0.97217,           0.0020952,           0.0029349,           0.0023713,           0.0029706,           0.0029706,           0.0029706
                  71,           0.0025573,           0.0021596,           0.0063115,               0.955,             0.97945,             0.99406,             0.99358,           0.0017337,           0.0021788,            0.001359,            0.002855,            0.002855,            0.002855
                  72,           0.0025415,           0.0021351,           0.0061853,             0.95424,              0.9588,             0.98707,             0.98046,           0.0017166,           0.0025184,           0.0019786,           0.0027419,           0.0027419,           0.0027419
                  73,           0.0024643,           0.0022192,           0.0062083,              0.9692,             0.94585,             0.98409,             0.98373,            0.001792,           0.0028478,           0.0018446,           0.0026316,           0.0026316,           0.0026316
                  74,           0.0024275,           0.0021471,           0.0058764,             0.97791,              0.9721,              0.9934,             0.98974,           0.0018434,           0.0025682,           0.0012256,           0.0025241,           0.0025241,           0.0025241
                  75,           0.0024188,           0.0020528,           0.0060446,             0.90924,             0.94178,             0.99139,             0.98977,           0.0015433,            0.002583,           0.0025959,           0.0024195,           0.0024195,           0.0024195
                  76,           0.0023964,              0.0021,           0.0060118,             0.98352,              0.9678,             0.99289,             0.99289,           0.0017326,           0.0025703,           0.0012365,            0.002318,            0.002318,            0.002318
                  77,           0.0024084,           0.0021069,           0.0056661,             0.98956,             0.97895,             0.99322,             0.99061,           0.0019716,           0.0029077,           0.0011292,           0.0022196,           0.0022196,           0.0022196
                  78,           0.0023321,            0.002051,           0.0055777,             0.96442,              0.9937,             0.99412,             0.99412,           0.0016644,           0.0029766,          0.00097982,           0.0021245,           0.0021245,           0.0021245
                  79,           0.0022477,           0.0020509,           0.0050457,             0.98204,             0.95549,             0.99149,             0.99089,           0.0016788,           0.0027136,           0.0013448,           0.0020327,           0.0020327,           0.0020327
                  80,           0.0022858,           0.0019932,           0.0054732,             0.98164,             0.97429,             0.99293,             0.99224,              0.0018,           0.0025963,           0.0012234,           0.0019443,           0.0019443,           0.0019443
                  81,           0.0021203,           0.0020152,           0.0048745,              0.9567,             0.98122,             0.99171,             0.99087,           0.0019175,            0.002674,           0.0013362,           0.0018594,           0.0018594,           0.0018594
                  82,           0.0020824,            0.001987,           0.0051888,             0.97452,             0.98966,             0.99445,             0.99415,           0.0018249,           0.0027329,          0.00098646,           0.0017781,           0.0017781,           0.0017781
                  83,           0.0020967,            0.001954,           0.0050661,             0.98706,             0.98783,             0.99466,             0.99356,           0.0018335,            0.003015,          0.00090872,           0.0017005,           0.0017005,           0.0017005
                  84,           0.0021424,           0.0019177,            0.005055,             0.96994,             0.99135,             0.99377,              0.9934,           0.0017162,           0.0030878,          0.00098314,           0.0016267,           0.0016267,           0.0016267
                  85,           0.0021896,           0.0020083,           0.0054757,             0.93822,             0.95787,             0.99107,             0.98036,           0.0017776,           0.0031205,           0.0020442,           0.0015566,           0.0015566,           0.0015566
                  86,           0.0021183,           0.0019248,           0.0045255,             0.98795,             0.98682,             0.99436,             0.99224,           0.0019316,           0.0030071,          0.00076986,           0.0014905,           0.0014905,           0.0014905
                  87,           0.0020809,           0.0019268,           0.0043884,             0.97992,             0.96458,             0.99417,             0.99153,           0.0018431,           0.0029515,           0.0010842,           0.0014283,           0.0014283,           0.0014283
                  88,           0.0020966,           0.0018954,           0.0043873,              0.9037,             0.94178,             0.98907,              0.9851,           0.0018419,           0.0029254,           0.0029231,           0.0013701,           0.0013701,           0.0013701
                  89,           0.0018826,           0.0018898,           0.0046917,             0.94373,             0.96026,             0.99453,             0.99451,           0.0015625,           0.0026935,            0.001572,            0.001316,            0.001316,            0.001316
                  90,           0.0018924,           0.0018815,           0.0044209,              0.9664,             0.96575,             0.99357,             0.99283,           0.0017943,           0.0028256,           0.0012647,            0.001266,            0.001266,            0.001266
                  91,           0.0018097,           0.0018482,           0.0044862,              0.9965,             0.98506,              0.9947,              0.9947,           0.0015808,           0.0028648,          0.00064489,           0.0012202,           0.0012202,           0.0012202
                  92,            0.001875,           0.0018459,           0.0045406,             0.98725,             0.98519,             0.99453,             0.99426,           0.0016893,             0.00294,           0.0007501,           0.0011787,           0.0011787,           0.0011787
                  93,           0.0018973,           0.0018131,           0.0043282,             0.99027,             0.98404,             0.99435,             0.98753,           0.0019088,            0.002921,          0.00066988,           0.0011414,           0.0011414,           0.0011414
                  94,           0.0018711,           0.0018163,            0.004475,             0.97175,             0.99373,             0.99466,             0.99414,           0.0017229,           0.0028055,          0.00068544,           0.0011084,           0.0011084,           0.0011084
                  95,           0.0017637,           0.0017472,           0.0040062,              0.9898,             0.99032,             0.99483,             0.99455,           0.0015222,           0.0030568,          0.00056781,           0.0010797,           0.0010797,           0.0010797
                  96,            0.001833,           0.0018178,           0.0041191,             0.99657,              0.9874,               0.995,             0.99495,            0.001516,           0.0027804,           0.0005064,           0.0010554,           0.0010554,           0.0010554
                  97,           0.0018145,           0.0017935,           0.0046279,             0.98744,             0.98528,             0.99429,             0.98987,           0.0018675,           0.0029555,          0.00068335,           0.0010355,           0.0010355,           0.0010355
                  98,            0.001744,           0.0017653,             0.00413,             0.97842,             0.97669,             0.99448,             0.99307,           0.0017168,            0.002833,          0.00083089,             0.00102,             0.00102,             0.00102
                  99,           0.0017557,           0.0018264,           0.0047413,             0.92767,             0.97601,             0.99262,             0.98595,           0.0017271,           0.0029946,           0.0019346,           0.0010089,           0.0010089,           0.0010089
